time,open,high,low,close,tick_volume,spread,real_volume
2025-06-26 20:30:00,144.181,144.245,144.148,144.21,612,0,0
2025-06-26 20:40:00,144.21,144.223,144.167,144.187,521,0,0
2025-06-26 20:50:00,144.185,144.206,144.14,144.188,551,0,0
2025-06-26 21:00:00,144.188,144.218,144.154,144.161,460,0,0
2025-06-26 21:10:00,144.16,144.198,144.151,144.181,340,0,0
2025-06-26 21:20:00,144.181,144.263,144.177,144.236,398,0,0
2025-06-26 21:30:00,144.236,144.262,144.195,144.206,278,0,0
2025-06-26 21:40:00,144.206,144.261,144.206,144.228,329,0,0
2025-06-26 21:50:00,144.228,144.239,144.185,144.2,337,1,0
2025-06-26 22:00:00,144.2,144.338,144.196,144.336,454,0,0
2025-06-26 22:10:00,144.336,144.404,144.322,144.393,438,1,0
2025-06-26 22:20:00,144.394,144.401,144.334,144.348,380,0,0
2025-06-26 22:30:00,144.348,144.356,144.322,144.324,244,0,0
2025-06-26 22:40:00,144.324,144.366,144.3,144.329,313,1,0
2025-06-26 22:50:00,144.329,144.392,144.301,144.37,470,0,0
2025-06-26 23:00:00,144.372,144.462,144.33,144.399,441,0,0
2025-06-26 23:10:00,144.399,144.446,144.391,144.441,311,0,0
2025-06-26 23:20:00,144.443,144.452,144.416,144.416,243,0,0
2025-06-26 23:30:00,144.416,144.454,144.416,144.452,330,0,0
2025-06-26 23:40:00,144.452,144.471,144.382,144.417,223,0,0
2025-06-26 23:50:00,144.416,144.425,144.347,144.356,269,1,0
2025-06-27 00:00:00,144.344,144.366,144.302,144.35,24,94,0
2025-06-27 00:10:00,144.35,144.367,144.248,144.365,46,42,0
2025-06-27 00:20:00,144.365,144.369,144.35,144.369,25,40,0
2025-06-27 00:30:00,144.369,144.377,144.347,144.377,21,38,0
2025-06-27 00:40:00,144.377,144.385,144.346,144.363,38,47,0
2025-06-27 00:50:00,144.363,144.364,144.316,144.316,15,52,0
2025-06-27 01:00:00,144.316,144.536,144.316,144.482,200,0,0
2025-06-27 01:10:00,144.482,144.506,144.451,144.496,176,0,0
